device_id,device_type,flow_duration_mean,packet_rate,byte_volume,port_entropy,unique_dest_ips,tcp_ratio,udp_ratio,iat_mean,iat_std
nvr-04,nvr,1.165669,17.447768,39794.127825,1.630945,4.14,0.809273,0.144804,0.190825,0.016613
access-ctrl-04,access_controller,0.714372,11.050793,14554.854322,0.733409,0.63,0.892202,0.121154,0.221426,0.007549
thermostat-16,thermostat,0.792177,5.647808,3915.550924,0.413383,1.59,0.718066,0.290765,0.235221,0.016286
plug-11,smart_plug,0.432775,3.660763,1252.049264,0.068182,1.84,0.52198,0.462971,0.346392,0.01221
cam-005,camera,1.152248,50.730313,97170.037643,2.732462,11.22,0.601768,0.393882,0.09787,0.035459
sensor-18,sensor,0.517708,5.476359,1986.886021,0.22844,2.19,0.865707,0.095617,0.314981,0.010993
router-17,router,1.02662,38.334579,48387.438503,2.052452,10.06,0.607123,0.403921,0.118608,0.020176
nvr-06,nvr,1.051352,26.43694,34903.049272,1.644804,2.69,0.68253,0.33348,0.168478,0.018424
access-ctrl-03,access_controller,0.707691,8.771879,13493.664843,0.730384,1.86,0.822059,0.128333,0.265547,0.011053
thermostat-04,thermostat,0.742399,5.952808,4124.808019,0.40124,4.34,0.715173,0.248557,0.212175,0.013438
plug-25,smart_plug,0.380586,3.65814,1532.158747,0.058466,3.42,0.51854,0.476998,0.328512,0.011689
cam-005,camera,1.26812,48.603794,77789.038998,2.393439,11.4,0.675957,0.334643,0.077866,0.025248
sensor-07,sensor,0.636468,2.84165,1843.177019,0.121507,1.54,0.946454,0.093696,0.291936,0.006501
router-05,router,0.897212,36.410733,66676.94946,2.005984,5.1,0.610154,0.360118,0.150895,0.026308
nvr-04,nvr,1.100381,23.101826,54087.060361,1.163429,5.19,0.829514,0.141702,0.206218,0.018283
access-ctrl-06,access_controller,0.642948,11.099746,13887.943755,0.616897,4.42,0.779882,0.20763,0.245858,0.010913
thermostat-09,thermostat,0.819161,6.00786,4317.394654,0.345746,0.72,0.733595,0.216376,0.199811,0.012408
plug-19,smart_plug,0.483072,3.95502,1589.556682,0.131827,2.08,0.488522,0.497846,0.355219,0.012123
cam-006,camera,1.404589,61.376284,100182.507327,2.491734,10.79,0.647413,0.303049,0.097671,0.035456
sensor-18,sensor,0.551836,3.624453,2743.299126,0.140653,1.44,0.825787,0.179896,0.290256,0.008998
router-02,router,1.018168,40.895543,46211.368997,2.230728,10.4,0.682909,0.281174,0.135252,0.01599
nvr-05,nvr,1.19684,24.928613,49461.55648,1.613544,4.04,0.775856,0.232947,0.178402,0.016528
access-ctrl-03,access_controller,0.753887,8.648104,10585.450328,0.49084,3.16,0.744412,0.230255,0.24076,0.012559
thermostat-04,thermostat,0.699955,6.267108,5309.717145,0.359977,3.68,0.727694,0.260345,0.222715,0.01751
plug-29,smart_plug,0.402597,3.001642,1646.007694,0.06809,0.91,0.449982,0.508425,0.328151,0.009213
cam-005,camera,1.271182,52.452931,94614.548169,2.58654,9.47,0.674359,0.307954,0.10991,0.037729
sensor-21,sensor,0.641242,3.34133,2399.821477,0.213978,1.61,0.880428,0.138794,0.274371,0.004594
router-02,router,1.023655,37.2152,44582.783881,1.697408,7.4,0.676974,0.34657,0.120559,0.019443
nvr-02,nvr,1.226114,17.742176,39357.344848,1.601423,4.02,0.678867,0.290844,0.195351,0.018896
access-ctrl-02,access_controller,0.634786,9.031567,10214.526601,0.558079,4.57,0.834623,0.166498,0.267585,0.010746
thermostat-13,thermostat,0.760613,5.939795,4275.105228,0.383152,3.48,0.749734,0.251529,0.207653,0.014346
plug-29,smart_plug,0.409891,3.268781,915.921671,0.132122,1.66,0.548599,0.461599,0.328153,0.012385
cam-001,camera,1.339316,52.783321,92625.278658,2.046466,9.39,0.61734,0.342437,0.089082,0.025634
sensor-24,sensor,0.505373,2.770259,1758.627627,0.187417,0.87,0.830597,0.162782,0.271606,0.009637
router-17,router,0.934822,33.908622,45781.072805,1.678338,6.64,0.670782,0.296543,0.145837,0.018958
nvr-02,nvr,1.227655,18.542821,52910.888637,1.487302,3.91,0.786941,0.20521,0.191002,0.01734
access-ctrl-05,access_controller,0.681266,10.183594,12824.163668,0.517295,3.65,0.806033,0.186246,0.2484,0.011101
thermostat-16,thermostat,0.800082,6.563135,5600.464312,0.388628,3.93,0.681967,0.307835,0.218629,0.017292
plug-25,smart_plug,0.348322,2.633493,1296.74237,0.140295,2.67,0.4862,0.554794,0.315722,0.012764
cam-004,camera,1.323739,49.10603,99647.41045,2.514364,10.99,0.706197,0.327728,0.09948,0.031753
sensor-21,sensor,0.446456,5.221204,2430.354285,0.154347,2.35,0.879346,0.142598,0.262904,0.006877
router-02,router,0.939378,29.044164,54238.540766,1.865609,8.99,0.687535,0.275436,0.123628,0.026473
nvr-06,nvr,1.271808,24.097605,42494.006112,1.362936,4.07,0.803823,0.219619,0.194178,0.015173
access-ctrl-04,access_controller,0.767718,11.380608,12886.011504,0.524391,3.24,0.775647,0.194131,0.22335,0.013908
thermostat-09,thermostat,0.770731,8.106984,4098.2369,0.333043,3.58,0.703727,0.217093,0.202624,0.016811
plug-14,smart_plug,0.430065,2.354526,1390.781242,0.088979,0.85,0.544968,0.447702,0.328242,0.012438
cam-005,camera,1.046475,61.003608,88562.114834,1.801356,6.75,0.662954,0.31825,0.104234,0.040394
sensor-12,sensor,0.56037,5.219694,1236.616366,0.255597,1.75,0.786805,0.212226,0.300203,0.007128
router-17,router,0.720542,35.601493,67121.090559,2.269858,3.95,0.689687,0.29122,0.12603,0.026411
nvr-05,nvr,1.256236,21.947771,43038.775884,1.527782,3.86,0.760795,0.217408,0.179117,0.017925
access-ctrl-04,access_controller,0.631417,10.843346,13550.869397,0.77443,3.74,0.824699,0.132717,0.254603,0.010128
thermostat-24,thermostat,0.8752,5.438197,5132.749713,0.297548,2.6,0.704532,0.306138,0.219445,0.018957
plug-22,smart_plug,0.393414,2.189488,1216.95339,0.129083,2.11,0.544406,0.442539,0.327552,0.010324
cam-002,camera,1.122641,50.965208,70811.261633,2.540035,12.11,0.581731,0.413671,0.090469,0.025007
sensor-07,sensor,0.524537,3.260076,2419.93193,0.110293,2.1,0.929402,0.064851,0.29624,0.006551
router-08,router,0.995457,39.526556,53263.305089,2.261222,4.76,0.655963,0.373025,0.140786,0.024412
nvr-06,nvr,1.005335,24.591969,34880.453212,1.649881,1.65,0.784432,0.204136,0.175163,0.013435
access-ctrl-04,access_controller,0.592658,7.495077,14389.362741,0.701023,3.95,0.863891,0.129134,0.257504,0.012345
thermostat-24,thermostat,0.74193,7.509605,5379.340156,0.373557,2.16,0.64803,0.303657,0.213598,0.013759
plug-14,smart_plug,0.440619,2.921923,938.881009,0.109971,3.42,0.486495,0.540281,0.368208,0.012637
cam-001,camera,1.333273,51.688721,74492.707641,2.761521,9.92,0.63096,0.368044,0.086059,0.03666
sensor-07,sensor,0.461198,4.41647,1729.208982,0.230791,0.0,0.874572,0.0722,0.289526,0.011844
router-02,router,0.837079,35.607496,64777.273388,2.031558,5.31,0.69042,0.306175,0.157452,0.020376
nvr-05,nvr,0.964917,18.24225,53802.309035,1.697898,7.11,0.699978,0.287421,0.175737,0.012874
access-ctrl-05,access_controller,0.688576,8.207127,9986.631011,0.779013,3.23,0.796264,0.162271,0.267501,0.007104
thermostat-09,thermostat,0.691241,7.843434,3919.898358,0.416453,1.28,0.700769,0.279837,0.228364,0.013963
plug-11,smart_plug,0.439195,3.16319,1212.409179,0.138914,1.74,0.533751,0.433276,0.31418,0.012522
cam-003,camera,1.272346,58.275417,81726.826395,2.702439,11.49,0.64279,0.360002,0.081997,0.032309
sensor-21,sensor,0.44488,3.251951,2305.646458,0.246718,2.43,0.899436,0.070094,0.271726,0.005339
router-05,router,0.952426,35.874833,60803.828308,1.684247,9.43,0.593524,0.322029,0.161287,0.01989
nvr-01,nvr,1.020194,26.615541,34577.285219,1.581857,5.19,0.78243,0.180548,0.211073,0.019746
access-ctrl-01,access_controller,0.71502,10.201053,11560.258536,0.839153,2.96,0.800397,0.153099,0.214527,0.011059
thermostat-13,thermostat,0.769458,5.451838,4879.418493,0.489019,2.52,0.69837,0.334586,0.229459,0.018193
plug-19,smart_plug,0.45031,2.257487,788.249252,0.142648,0.3,0.503814,0.462383,0.313224,0.01113
cam-003,camera,1.255885,44.259815,80266.663879,1.83757,13.46,0.681493,0.345575,0.09561,0.028759
sensor-18,sensor,0.561771,3.893468,2407.006186,0.156845,1.0,0.826035,0.177063,0.309217,0.007716
router-02,router,0.985479,27.346125,47660.937486,1.680391,6.1,0.723253,0.28853,0.14981,0.020149
nvr-01,nvr,1.199876,20.58157,33131.772394,1.273286,7.29,0.788869,0.207688,0.200039,0.013505
access-ctrl-06,access_controller,0.587402,9.740198,10125.288216,0.617241,3.22,0.790079,0.223349,0.256972,0.006663
thermostat-13,thermostat,0.761502,6.163901,4525.870255,0.395245,2.0,0.698459,0.303222,0.216181,0.012677
plug-22,smart_plug,0.406079,2.235509,989.281718,0.059628,1.82,0.451778,0.4864,0.360344,0.009981
cam-006,camera,1.27884,56.455771,98006.593472,2.112534,9.48,0.615142,0.337117,0.093645,0.040511
sensor-12,sensor,0.419217,3.721162,1777.289604,0.211687,3.72,0.889001,0.056393,0.256162,0.009617
router-11,router,0.932099,33.826179,43857.164547,1.717176,5.85,0.623284,0.364483,0.136021,0.017708
nvr-01,nvr,0.975584,27.862949,35585.148745,1.360567,5.38,0.773268,0.165082,0.173068,0.01381
access-ctrl-01,access_controller,0.576067,9.741881,9451.827288,0.63542,1.92,0.788068,0.179587,0.225921,0.011869
thermostat-04,thermostat,0.796213,7.093283,4322.418774,0.433445,1.24,0.717502,0.295628,0.216963,0.014214
